"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 30 11:48:49 CST 2020","Wed Dec 30 11:49:38 CST 2020","48545","scripts","test01_login","TestLogin","","","输入正确用户名和密码登录测试","此条用例针对绿色数字城市CIM基础平台下登录模块测试"
"passed","Wed Dec 30 11:51:08 CST 2020","Wed Dec 30 11:51:38 CST 2020","29970","scripts","test03_filestore","TestFileStore","","","空间管理模块功能点测试","此条用例针文件存储模块下空间管理模块的增删改查测试"
"broken","Tue Dec 29 09:36:13 CST 2020","Tue Dec 29 09:36:13 CST 2020","0","scripts","test01_login","TestLogin","","","输入正确用户名和密码登录测试","此条用例针对绿色数字城市CIM基础平台下登录模块测试"
"passed","Wed Dec 30 11:51:54 CST 2020","Wed Dec 30 11:52:22 CST 2020","27822","scripts","test04_management","TestManagement","","","文件管理模块功能点测试","此条用例针对资料管理模块下文件管理模块的增删改查测试"
"broken","Wed Dec 30 11:50:05 CST 2020","Wed Dec 30 11:50:41 CST 2020","36027","scripts","test02_KnowledgeBase","TestKnowledgeBase","","","政策管理模块功能点测试","此条用例针对知识库模块下政策管理模块的增删改查测试"
