"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 29 11:28:44 CST 2020","Tue Dec 29 11:29:12 CST 2020","28366","scripts","test03_filestore","TestFileStore","","","空间管理模块功能点测试","此条用例针文件存储模块下空间管理模块的增删改查测试"
"passed","Tue Dec 29 11:26:51 CST 2020","Tue Dec 29 11:27:14 CST 2020","22722","scripts","test01_login","TestLogin","","","输入正确用户名和密码登录测试","此条用例针对绿色数字城市CIM基础平台下登录模块测试"
"passed","Tue Dec 29 11:29:40 CST 2020","Tue Dec 29 11:30:05 CST 2020","24947","scripts","test04_management","TestManagement","","","文件管理模块功能点测试","此条用例针对资料管理模块下文件管理模块的增删改查测试"
"passed","Tue Dec 29 11:27:29 CST 2020","Tue Dec 29 11:28:03 CST 2020","33373","scripts","test02_KnowledgeBase","TestKnowledgeBase","","","政策管理模块功能点测试","此条用例针对知识库模块下政策管理模块的增删改查测试"
"broken","Wed Dec 30 09:50:01 CST 2020","Wed Dec 30 09:50:55 CST 2020","53671","scripts","test01_login","TestLogin","","","输入正确用户名和密码登录测试","此条用例针对绿色数字城市CIM基础平台下登录模块测试"
